name,scope,other_names,location_found,pattern_type,pattern,confidence_no_fp,expected_countries,source,exp_url,notes
ooni.id_91,isp,cl.dns_isp_id_sehat_gmedia_ip,dns,full,49.128.177.13,5,ID,ooni,https://explorer.ooni.org/measurement/20180119T133726Z_AS55666_NfgRumGXxCBp0t0SjoNsX0KyrzzmQmoXbSoXzPfHgw9ICwI5zr?input=http://www.queernet.org,Indonesian ISP GMedia blockpage. Matches cases where IP is used instead of CNAME.
ooni.id_92,isp,cl.dns_isp_id_sehat_smartfren,dns,full,internetsehat.smartfren.com,5,ID,ooni,https://explorer.ooni.org/measurement/20191225T231001Z_AS18004_hA8xsVHcbUOLZLKxI8kAQ2GV3yzQ8TpDNqUpHA1Sm3Mdb3yYVB?input=http://www.samesexmarriage.ca/,Indonesian ISP Smartfren blockpage.
ooni.id_93,isp,cl.dns_isp_id_sehat_mncplay,dns,full,internetpositif.mncplaymedia.com,5,ID,ooni,https://explorer.ooni.org/measurement/20180727T095622Z_AS17670_ryQ3v3ZDI2X8YI7FKTxeG9L5PEmgc0Z5N3bDIU7uusFaaIcuql?input=http://www.bglad.com,Indonesian ISP MNC Play Media blockpage. Based on CNAME record although the IP address was 110.50.83.31 when seen.
ooni.id_94,isp,cl.dns_inst_id_sehat_telkomuniversity,dns,full,dnssehat.telkomuniversity.ac.id,5,ID,ooni,https://explorer.ooni.org/measurement/20180315T084438Z_AS133357_LeDGv9wMP20hFNfN2nqsvJxL1vUKOFZ0grMlnMJXACYHkmPLNB?input=http://transsexual.org,"Indonesian University, owned by PT Telekom, but has a seperate filtering system"
ooni.id_95,nat,cl.dns_nat_id_trustpositif,dns,full,trustpositif.kominfo.go.id,5,ID,ooni,,Matches a CNAME record of the official Indonesidan filter TrustPositif
ooni.ir_4,nat,cl.dns_nat_ir_inject_1,dns,full,10.10.34.34,5,IR,ooni,https://explorer.ooni.org/measurement/20170525T030641Z_AS50810_5iVwM98EMQORqXeZtbhiDquo9zifyYSMmE5AWTARCw3XJ1R4is?input=http://pesareghabile.blogspot.com,An injection to the Iranian national blockpage.
ooni.ir_5,nat,cl.dns_nat_ir_inject_2,dns,full,10.10.34.35,5,IR,ooni,https://explorer.ooni.org/measurement/20180114T045727Z_AS61173_bkL7bV97kNEYVREkD0Lg4LnvnnlDtlNlbvA1jbzPlsncPdNlIm?input=http://queerquotes.blogspot.com,An injection to the Iranian national blockpage.
ooni.mm_2,isp,cl.dns_isp_mm_myanmarnet_block,dns,full,59.153.90.11,5,MM,ooni,https://explorer.ooni.org/measurement/20210208T105603Z_webconnectivity_MM_58952_n1_NEm53Iw0ysgcGt9J?input=http://www.facebook.com,Myanmar ISP Myanmarnet blockpage
ooni.mm_3,nat,cl.dns_nat_mm_transportcomms_block,dns,full,167.172.4.60,5,MM,ooni,https://explorer.ooni.org/measurement/20210201T223944Z_webconnectivity_MM_133385_n1_LlJnFqnaVXNfXygL?input=http://www.hornybank.com/,A false DNS response with Ministry of Transport and Communications of Myanmar branding.
ooni.mn_0,nat,cl.dns_nat_mn_crc,dns,full,218.100.84.78,5,MN,ooni,,Mongolian block due to legal reasoning.
ooni.my_2,nat,cl.dns_nat_my_violates,dns,full,175.139.142.25,5,MY,ooni,https://explorer.ooni.org/measurement/20190503T024619Z_AS4788_agTXVdX7lipOjGFLnaQQFSkxEMVNoXopd20czlazmSW5XIofs4?input=http://www.gaystarnews.com/,This website is not available in Malaysia as it violate(s) the National law(s). DNS response
ooni.pk_3,isp,cl.dns_isp_pk_nayatel_surfsafely,dns,full,203.82.48.83,5,PK,ooni,https://explorer.ooni.org/measurement/20161025T235721Z_AS23674_Lldjua1VqHuWrRcILrD3wrfRXiOVP5P3e0wHwJV1MACuOzBFwY?input=http://www.queerty.com,Pakistani ISP Nayatels Surf Safely blockpage
ooni.pk_4,isp,cl.dns_isp_pk_nayatel_safeweb,dns,full,203.82.48.86,5,PK,ooni,https://explorer.ooni.org/measurement/20191206T015807Z_AS23674_BbXvUMwowxajbM9Q1pTeOp84pawo9ccTUsltC6B1vhyNHC2kkM?input=http://gaytoday.com/,Pakistani ISP Nayatels Safeweb blockpage
ooni.pl_2,nat,,dns,full,145.237.235.240,5,PL,ooni,,
ooni.pl_3,nat,,dns,full,195.187.6.33,5,PL,ooni,,
ooni.pl_4,nat,,dns,full,195.187.6.34,5,PL,ooni,,
ooni.pl_5,nat,,dns,full,195.187.6.35,5,PL,ooni,,
ooni.pl_6,nat,,dns,full,78.133.250.166,5,PL,ooni,,
ooni.pl_7,nat,,dns,full,195.116.107.98,5,PL,ooni,,
ooni.ru_83,prod,cl.dns_prod_ru_netpolice,dns,full,159.255.26.69,5,RU,ooni,,Russian DNS based RKN filtering proudct.
ooni.ru_84,isp,cl.dns_prod_skydns_1,dns,full,193.58.251.1,5,RU,ooni,https://explorer.ooni.org/measurement/20171003T161217Z_AS15599_eoh3aUHQ7NV5LwWDA3Br8Hf3FGcgxG3s8mjxFd40cSWcV5BL23?input=http://lgbt.foundation/,Russian DNS filter product
ooni.ru_85,isp,cl.dns_prod_skydns_2,dns,full,193.58.251.11,5,RU,ooni,,Russian DNS filter product
ooni.ru_86,isp,cl.dns_prod_skydns_3,dns,full,95.217.66.240,5,RU,ooni,,Russian DNS filter product
ooni.ru_87,isp,cl.dns_prod_yandex_security_check,dns,full,93.158.134.250,5,RU,ooni,https://explorer.ooni.org/measurement/20180919T192809Z_AS34984_Rlb0RqQAPfo5LqUQHWREV7c1sxNXcHSGHrVftNTgOoVBhAcu20?input=http://www.exgay.com,Yandex Check Site Security Status Response
ooni.ru_88,isp,cl.dns_isp_rostelecom_blocksystem,dns,full,217.148.54.171,5,RU,ooni,,Russian ISP Rostelecom but the filtering pattern is very different than what customers typically see. This might be a small downstream players RKN implementation.
ooni.ru_89,isp,cl.dns_isp_ru_rkn_skynet,dns,full,185.37.129.10,5,RU,ooni,https://explorer.ooni.org/measurement/20190628T034744Z_AS35807_4XwiNixlQ8odJ6ek21IUmKwtvCecSOWoII5ZjwqzCCgx6Sx9a3?input=http://bluesystem.ru/,Russian ISP Skynet RKN blockpage
ooni.ru_90,isp,"cl.dns_isp_ru_rkn_naukanet,cl.dns_isp_ru_rkn_zencom,ooni.ru_91",dns,full,46.175.31.250,5,RU,ooni,https://explorer.ooni.org/measurement/20200318T090603Z_AS8641_sZfld8WLVRMRZ6Oa6uj23WNddUJ5zFCFLL5JCNBqorFDn1P050?input=http://www.lesbi.ru/,Russian ISP Nauka-Svyaz RKN blockpage
ooni.ru_92,isp,cl.dns_isp_ru_rkn_mastertel,dns,full,83.69.208.124,5,RU,ooni,,"Russian ISP Mastertel (business focused, telecom provider, datacenters, etc) RKN blockpage"
ooni.ru_93,isp,cl.dns_isp_ru_rkn_netbynet,dns,full,212.1.226.59,5,RU,ooni,,Russian ISP NetByNet RKN blockpage
ooni.ru_94,isp,cl.dns_isp_ru_rkn_smoltelecom,dns,full,37.44.40.254,5,RU,ooni,,Russian ISP Smoltelecom blockpage
ooni.ru_95,isp,cl.dns_isp_ru_rkn_enforta,dns,full,87.241.223.133,5,RU,ooni,,Russian ISP Enforta blockpage
ooni.ru_96,isp,cl.dns_isp_ru_rkn_ertelecom,dns,full,5.3.3.17,5,RU,ooni,https://explorer.ooni.org/measurement/20180313T233202Z_AS51645_dIEFx0okmP7iqOXN3x1p97EObb6Z1oLDQYOHFLVvfn7c0FKRW6?input=http://bluesystem.ru/,Russian ISP Ertelecom RKN blockpage
ooni.ru_97,nat,,dns,full,62.33.207.196,5,RU,ooni,,
ooni.ru_98,nat,,dns,full,62.33.207.197,5,RU,ooni,,
ooni.th_9,nat,cl.dns_nat_th_mdes_illegal,dns,full,125.26.170.3,5,TH,ooni,https://explorer.ooni.org/measurement/20201228T234534Z_webconnectivity_TH_131445_n1_deRHboYpdtGToSqk?input=http://www.bbc.com/news/world-asia-38126928/,"A false DNS response with Thai Ministry of Digital Economy and Society branding, suggesting this site is illegal based on the computer crime act and gambling act."
ooni.tr_6,nat,cl.dns_nat_tr_poison,dns,full,195.175.254.2,5,TR,ooni,,A poisoned DNS reply used in Turkey since 2014
ooni.tr_7,isp,cl.dns_isp_tr_turknet_familyprofile,dns,full,193.192.98.41,5,TR,ooni,,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
ooni.tr_8,isp,cl.dns_isp_tr_turknet_socialmedia,dns,full,193.192.98.42,5,TR,ooni,,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
ooni.tr_9,isp,cl.dns_isp_tr_turknet_chat,dns,full,193.192.98.43,5,TR,ooni,,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
ooni.tr_10,isp,cl.dns_isp_tr_turknet_game,dns,full,193.192.98.45,5,TR,ooni,,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
ooni.tr_11,isp,cl.dns_isp_tr_turknet_chat_and_socialmedia,dns,full,193.192.98.46,5,TR,ooni,,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
ooni.tr_12,isp,cl.dns_isp_tr_turknet_game_and_socialmedia,dns,full,193.192.98.47,5,TR,ooni,,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
ooni.tr_13,isp,cl.dns_isp_tr_turknet_game_and_chat,dns,full,193.192.98.48,5,TR,ooni,,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
ooni.tr_14,isp,cl.dns_isp_tr_turknet_game_chat_socialmedia,dns,full,193.192.98.49,5,TR,ooni,,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
