name,scope,other_names,location_found,pattern_type,pattern,confidence_no_fp,expected_countries,source,exp_url,notes
cl.dns_prod_opendns_1,prod,,dns,full,146.112.61.106,10,,https://www.opendns.com/cisco-opendns/,https://explorer.ooni.org/measurement/20170209T174739Z_AS1136_wBIk5bny3acHUuSTuZ8sqtFnKcU47tiRY0LEw08s9m9VDZBsO3?input=http://gayromeo.com,Cisco OpenDNS a popular DNS filtering system. NOTE: there is probably a more sophisticated way to track these IE - CNAME used in the redir.
cl.dns_prod_opendns_2,prod,,dns,full,208.69.32.164,10,,https://www.opendns.com/cisco-opendns/,https://explorer.ooni.org/measurement/20191007T155258Z_AS20115_DS8uyNobQ0CH9o9fls70ftC1ItOJ7dK5OlMG3YBs7NYrIXQ2Ty?input=https://www.planetromeo.com/,Cisco OpenDNS a popular DNS filtering system. NOTE: there is probably a more sophisticated way to track these IE - CNAME used in the redir.
cl.dns_prod_securely_1,prod,,dns,full,204.110.220.2,10,,https://www.securly.com/,,DNS filtering product for schools
cl.dns_prod_securely_2,prod,,dns,full,52.52.63.90,10,,https://www.securly.com/,,DNS filtering product for schools
ooni.id_internet_positif_remala_1,nat,,dns,full,101.255.1.226,10,ID,,https://explorer.ooni.org/measurement/20220724T195306Z_webconnectivity_ID_38511_n1_cIzflLexBWoU6ogC?input=https%3A%2F%2Fvimeo.com%2F,
ooni.id_internet_positif_remala_2,nat,,dns,full,101.255.0.226,10,ID,,https://explorer.ooni.org/measurement/20220724T195306Z_webconnectivity_ID_38511_n1_cIzflLexBWoU6ogC?input=https%3A%2F%2Fvimeo.com%2F,
ooni.id_kominfo_1,nat,,dns,full,139.255.196.196,10,ID,,,
ooni.id_kominfo_2,nat,,dns,full,103.154.123.132,10,ID,,,
ooni.ir_10dot10_ipv4_1,nat,,dns,full,10.10.34.36,10,IR,,https://explorer.ooni.org/measurement/20210701T022229Z_webconnectivity_IR_197207_n1_1gpWGw5V9YWvEa44?input=http%3A%2F%2Fwww.freeexpression.org%2F,
ooni.ir_ipv6_1,nat,,dns,full,d0::11,10,IR,,https://explorer.ooni.org/measurement/20210715T094141Z_webconnectivity_IR_44244_n1_GFBhOu2puPdz4SSt?input=https%3A%2F%2Fwww.sbs.com.au%2Flanguage%2Fcoronavirus%3Fcid%3Dinfocus,
